Country,City,CameraName,CameraURL
us,"AL, Florence",Lion's Den Cam,https://www.earthcam.com/usa/alabama/florence/
us,"AK, Sitka",Sitka Cam,https://www.earthcam.com/usa/alaska/sitka/
us,"AK, Tenakee Springs",Tenakee Springs Cam,https://www.earthcam.com/usa/alaska/tenakeesprings/
us,"AZ, Fountain Hills",Fountain Hills Cam,https://www.earthcam.com/usa/arizona/fountainhills/
us,"AZ, Grand Canyon Village",Grand Canyon Cam,https://www.earthcam.com/usa/arizona/grandcanyon/
us,"AZ, Prescott",Prescott Cam,https://www.earthcam.com/usa/arizona/prescott/
us,"AZ, Goodyear",Recreation Campus Cam,https://www.earthcam.com/usa/arizona/goodyear/
us,"AZ, Sedona",Red Rock Cam,https://www.earthcam.com/usa/arizona/sedona/redrock/?cam=sedona_hd
us,"AZ, Sedona",Sedona Cam,https://www.earthcam.com/usa/arizona/sedona/
us,"AZ, Sedona",Seven Arches Cam,https://www.earthcam.com/usa/arizona/sedona/sevenarches/?cam=sedona7
us,"CA, Rutherford",Alpha Omega Winery,https://www.earthcam.com/usa/california/rutherford/
us,"CA, Sacramento",Falcon Cam,https://www.earthcam.com/usa/california/davis/?cam=ucdavisfalcon
us,"CA, Sacramento",Falcon Cam - Nest View,https://www.earthcam.com/usa/california/davis/?cam=ucdavisfalcon_nest
us,"CA, Indian Wells",Indian Wells Fairway Cam,https://www.earthcam.com/usa/california/indianwells/?cam=indianwells_fairway
us,"CA, Indian Wells",Indian Wells Putting Course,https://www.earthcam.com/usa/california/indianwells/?cam=indianwells_puttingcourse
us,"CA, Indian Wells",Indian Wells Tee Cam,https://www.earthcam.com/usa/california/indianwells/?cam=indianwells_tee
us,"CA, Newport Coast",Newport Coast Cam,https://www.earthcam.com/usa/california/newportcoast/
us,"CA, Ojai",Ojai Valley Cam,https://www.earthcam.com/usa/california/ojai/?cam=ojaivalley
us,"CA, Los Angeles",Port of LA - San Pedro,https://www.earthcam.com/usa/california/losangeles/port/?cam=portofla
us,"CA, Los Angeles",Port of LA - Wilmington,https://www.earthcam.com/usa/california/losangeles/port/?cam=portofla2
us,"CA, San Diego",San Diego Bay Cam,https://www.earthcam.com/usa/california/sandiego/bay/
us,"CA, San Diego",San Diego Harbor Cam,https://www.earthcam.com/usa/california/sandiego/harbor/
us,"CA, San Francisco",San Francisco Bayfront Cam,https://www.earthcam.com/usa/california/sanfrancisco/?cam=rowingclub
us,"CA, Santa Monica",Santa Monica Cam,https://www.earthcam.com/usa/california/santamonica/
us,"CO, Breckenridge",Rocky Mountains Cam,https://www.earthcam.com/usa/colorado/breckenridge/mountain/?cam=breckenridge_mountain
us,"CO, Pagosa Springs",Pagosa Peak Cam,http://myearthcam.com/mlphoto
us,"CT, Mystic",Downtown Mystic Cam,https://www.earthcam.com/usa/connecticut/mystic/
us,"CT, New London",New London Harbor Cam,https://www.earthcam.com/usa/connecticut/newlondon/
us,"CT, Norwalk",Ripka's Beach Cam,https://www.earthcam.com/usa/connecticut/norwalk/
us,"DC, Washington",Bloom Cam,https://www.earthcam.com/usa/dc/cherryblossoms/?cam=cherryblossoms2
us,"DC, Washington",Capitol Cam,https://www.earthcam.com/usa/dc/capitol/?cam=dc_capitol
us,"DC, Washington",Kennedy Center Cam,https://www.earthcam.com/usa/dc/?cam=dc_kennedycenter
us,"DC, Washington",WAMO Cam,https://www.earthcam.com/usa/dc/washingtonmonument/?cam=wamo
us,"FL, Lauderdale-By-The-Sea",Anglins Pier Cam,https://www.earthcam.com/usa/florida/lauderdalebythesea/town/?cam=lbts_beach
us,"FL, Lauderdale-By-The-Sea",Anglins Square Cam,https://www.earthcam.com/usa/florida/lauderdalebythesea/town/?cam=lbts_town
us,"FL, Miami",Brickell Key Cam,https://www.earthcam.com/usa/florida/miami/brickellkey/
us,"FL, Coral Springs",Coral Springs Cam,https://www.earthcam.com/usa/florida/coralsprings/
us,"FL, Destin",Destin Cam,https://www.earthcam.com/usa/florida/destin/?cam=destin
us,"FL, Dunedin",Dunedin Cam,https://www.earthcam.com/usa/florida/dunedin/stjosephsound/
us,"FL, Englewood",Englewood Beach Cam,https://www.earthcam.com/usa/florida/portcharlotte/
us,"FL, DSCOVR Satellite",EPIC Cam,https://www.earthcam.com/world/dscovr/
us,"FL, Fort Lauderdale",Everglades Cam,https://www.earthcam.com/usa/florida/fortlauderdale/everglades/
us,"FL, New Smyrna Beach",Flagler Avenue Beach Cam,https://www.earthcam.com/usa/florida/newsmyrnabeach/
us,"FL, Miami",Flamingo Cam,https://www.earthcam.com/usa/florida/miami/flamingo/
us,"FL, Fort Lauderdale",Florida Marina Cam,https://www.earthcam.com/usa/florida/fortlauderdale/marina/
us,"FL, Port Richey",Florida State Park Cam,https://www.earthcam.com/usa/florida/portrichey/
us,"FL, Fort Myers",Fort Myers Riverfront Cam,https://www.earthcam.com/usa/florida/fortmyers/riverfront/
us,"FL, Pensacola",Gulf Beach Cam,https://www.earthcam.com/usa/florida/pensacola/gulf/
us,"FL, Daytona Beach",Halifax Humane Society Cam,https://www.earthcam.com/usa/florida/daytona/halifax/
us,"FL, Hillsboro Beach",Hillsboro Lighthouse Cam,https://www.earthcam.com/usa/florida/hillsboro/
us,"FL, Marco Island",Island Bike Shop Cam,https://www.earthcam.com/usa/florida/marcoisland/bikeshop/
us,"FL, West Palm Beach",Manatee Lagoon Cam,https://www.earthcam.com/usa/florida/rivierabeach/manatee/?cam=manatee
us,"FL, Marco Island",Marco Island Beach Cam,https://www.earthcam.com/usa/florida/marcoisland/beach/
us,"FL, Marco Island",Marco Island Marina Cam,https://www.earthcam.com/usa/florida/marcoisland/marina/
us,"FL, Miami",Meerkat Cam,https://www.earthcam.com/usa/florida/miami/meerkat/
us,"FL, Miami",Miami News Cafe,https://www.earthcam.com/usa/florida/miami/?cam=miami_newscafe
us,"FL, Miami",Miami Resort View Cam,https://www.earthcam.com/usa/florida/miami/resort/
us,"FL, Naples",Naples Botanical Garden Cam,https://www.earthcam.com/usa/florida/naples/botanicalgarden/
us,"FL, Naples",Naples Pier Sunset Cam,https://www.earthcam.com/usa/florida/naples/?cam=naplespier
us,"FL, Tarpon Springs",Nature Preserve Cam,https://www.earthcam.com/usa/florida/tarponsprings/
us,"FL, Manalapan",Palm Beach Cam,https://www.earthcam.com/usa/florida/manalapan/palmbeach/
us,"FL, Panama City",Panama City Beach Cam,https://www.earthcam.com/usa/florida/panamacitybeach/?cam=panamacitybeach
us,"FL, Gulf Breeze",Pensacola Watersports Cam,https://www.earthcam.com/usa/florida/pensacola/beach/
us,"FL, Orlando",Planet Earth Cam,https://www.earthcam.com/cams/earth/space/?cam=nasa_iss
us,"FL, Longboat Key",Sand Cay Beach Cam,https://www.earthcam.com/usa/florida/longboatkey/
us,"FL, Destin",Sandestin Beach,https://www.earthcam.com/usa/florida/destin/sandestinbeach/?cam=sandestin
us,"FL, Tampa",Tampa Cam,https://www.earthcam.com/usa/florida/tampa/
